ax,ay,az,gx,gy,gz,label
0.883545,-0.128906,-0.311523,-49.0687,27.73282,71.62595,0
1.697266,-0.745606,1.271484,30.17557,-65.09924,-2.984733,10
0.961426,0.126221,-0.226807,3.0,-41.38931,22.25954,0
1.069824,-0.203857,-0.446289,-58.93893,2.839695,-60.0687,1
1.001465,0.004395,0.106934,-2.763359,0.06870199,1.030534,0
0.962158,-0.422119,-0.177979,-150.1908,37.61069,67.12977,1
0.9470221,0.076904,-0.412109,-16.75573,-38.60306,-8.610687,0
1.001953,0.006104,0.09936501,-2.717557,0.175573,0.885496,0
0.993408,0.004639,0.105713,-2.877863,0.251908,0.946565,0
1.081055,0.032715,0.205811,-13.0458,-2.625954,0.389313,1
1.041992,0.209473,-0.238281,21.81679,40.53435,-50.77863,1
1.003906,0.01001,-0.019531,-2.862595,-0.358779,1.21374,0
0.992188,-0.515869,-0.621582,-49.9771,-10.19084,-1.343512,10
1.048096,0.422607,-0.416016,-15.92366,44.07634,-65.35878,10
0.509277,0.33374,0.233154,-50.51908,45.33588,0.335878,0
1.010986,0.016357,0.09204101,-2.641221,0.114504,1.21374,0
0.866455,-0.098389,-0.498291,-6.580152,49.73283,6.992366,0
1.297852,0.325684,0.355225,82.23664,-24.51145,-57.66412,10
1.031006,0.075439,0.019287,30.87786,-19.86259,-9.954199,0
0.9882811,0.004883,-0.033447,-2.648855,0.671756,1.167939,0
1.401856,-0.686523,1.554443,64.96183,-66.77863,-8.10687,10
0.850342,0.025146,-0.263672,-13.37405,48.49618,-21.14504,0
0.997559,0.001709,-0.022949,-3.053435,0.251908,1.08397,0
1.246094,0.166992,0.519531,-12.59542,65.70992,48.91603,10
1.001709,0.001221,-0.022217,-2.832061,0.045802,1.08397,0
0.353027,0.256592,-0.85498,62.99237,1.564886,-40.64885,0
0.735352,0.001709,-0.077881,-53.55725,66.07633,35.87023,0
1.873291,-0.002441,1.063232,-30.65649,-1.137404,-12.17557,10
1.446533,-0.387695,1.010254,-199.7252,-12.54962,66.80153,10
0.931885,-0.163574,0.186523,-28.01527,0.267176,-3.381679,0
0.773682,0.384277,-0.500244,-15.76336,1.305344,14.14504,0
1.376709,-0.083252,-0.856445,145.7252,-68.59542,-250.1374,10
0.9953609,0.011719,-0.024658,-2.954198,0.10687,1.305344,0
0.845459,-0.374023,0.625,44.01527,-69.0458,6.160306,1
0.34375,0.301025,-0.453613,-44.8168,119.5954,119.3664,0
