ax,ay,az,gx,gy,gz,label
0.35376,-0.8940431,1.814453,-217.4657,-56.25954,-76.98473,10
1.150879,-2.0,-0.409424,-20.68702,-250.1374,86.9313,10
0.124756,-0.473389,0.157227,168.5267,148.1756,2.389313,0
1.003906,-0.006836,0.081299,-2.641221,0.480916,1.541985,0
-2.0,-0.420166,1.741699,250.1298,250.1298,114.9084,10
-0.008545,-1.589356,-0.032959,138.1298,29.66412,9.885496,10
1.0,-0.017334,0.081299,-2.51145,0.229008,1.198473,0
-0.082275,-0.970215,0.489258,9.358779,-250.1374,12.81679,1
0.998779,0.02002,0.076172,-2.541985,0.0,0.923664,0
0.99707,0.016602,0.076172,-2.870229,0.06870199,1.022901,0
-0.063721,-0.90918,0.178467,-89.83969,60.22901,4.259542,0
0.206543,-1.379394,1.733887,223.4809,-50.1145,3.465649,10
0.037842,-0.869629,0.9184569,22.87786,-17.26718,3.580153,1
-0.023193,-0.945557,0.387451,42.56488,32.12977,-4.557252,0
0.999268,0.017822,0.08105499,-2.59542,0.427481,0.870229,0
0.012939,-1.180176,0.137451,91.77863,-11.29771,2.801527,1
1.000244,0.022949,0.075439,-2.48855,0.244275,0.847328,0
-0.043701,-0.9157721,0.446777,37.80153,6.19084,11.30534,0
0.8952641,-0.450439,-0.025146,-25.83206,-21.25954,25.9084,0
1.002686,-0.01416,0.037354,-99.67175,28.16031,14.44275,0
0.986084,0.032227,0.021484,-9.198473,-4.9771,-13.81679,0
-0.124512,-1.09375,-0.043701,-113.7863,202.2672,133.1985,1
-0.003418,-0.822998,1.999939,30.38931,24.29771,12.15267,10
0.35376,-0.8940431,1.814453,-217.4657,-56.25954,-76.98473,10
-0.113037,-0.9084471,-0.139648,90.0687,-13.39695,58.21374,0
-0.098389,-1.2771,1.506836,92.75572,140.0382,3.725191,10
0.123535,-1.166992,0.201172,-75.12214,-136.0534,65.83206,1
0.9990231,0.024414,0.070557,-2.610687,0.129771,0.839695,0
-0.382324,-0.386475,1.999939,-250.1374,-196.084,34.0229,10
1.0,0.021484,0.07666,-2.648855,0.328244,0.91603,0
0.012939,-1.180176,0.137451,91.77863,-11.29771,2.801527,1
1.0,-0.017334,0.081299,-2.51145,0.229008,1.198473,0
-0.289551,-0.909912,1.284912,91.99236,65.98473,24.73282,10
-0.100098,-0.618408,0.033691,46.84733,-66.80916,-48.70229,0
-0.847412,-2.0,-1.428955,-19.9313,-38.99237,12.0229,10
-0.043701,-0.9157721,0.446777,37.80153,6.19084,11.30534,0
1.000244,0.019775,0.070557,-2.618321,0.183206,1.19084,0
0.642334,-0.435547,0.102783,-150.6488,-108.0382,241.8092,0
-0.100098,-0.618408,0.033691,46.84733,-66.80916,-48.70229,0
-0.098877,-1.129639,-0.095215,5.465648,-45.76336,-3.839695,1
-0.126953,-1.455566,0.97168,120.4046,-9.969465,-13.87023,10
-0.026123,-1.045898,0.275635,74.92366,-17.92366,17.06107,1
1.001709,0.023438,0.076172,-2.748092,0.083969,0.954198,0
-1.411133,-2.0,1.999939,250.1298,-168.145,176.6641,10
-0.024414,-0.79541,1.999939,-55.1832,39.29771,26.59542,10
0.195801,-0.579834,0.100342,-101.7634,113.5878,-12.55725,0
-0.190674,-1.054443,-0.116943,124.626,-54.51908,-49.1832,1
-0.374512,-1.107666,1.025146,10.45038,250.1298,-15.19084,10
-0.190674,-1.054443,-0.116943,124.626,-54.51908,-49.1832,1
1.000244,0.019775,0.070557,-2.618321,0.183206,1.19084,0
1.000488,0.017578,0.07446301,-2.625954,0.206107,0.9312981,0
-0.023193,-0.945557,0.387451,42.56488,32.12977,-4.557252,0
1.0,-0.017334,0.081299,-2.51145,0.229008,1.198473,0
0.206543,-1.379394,1.733887,223.4809,-50.1145,3.465649,10
0.368652,-1.095215,1.63208,-250.1374,-30.83206,-103.1527,10
0.123535,-1.166992,0.201172,-75.12214,-136.0534,65.83206,1
0.414795,-1.182861,-1.10083,133.8321,54.09924,-47.31298,10
0.159668,-0.621338,0.013916,225.6031,135.9695,37.56488,0
-0.026123,-1.045898,0.275635,74.92366,-17.92366,17.06107,1
1.150879,-2.0,-0.409424,-20.68702,-250.1374,86.9313,10
-0.008545,-1.589356,-0.032959,138.1298,29.66412,9.885496,10
-0.08105499,-1.201172,-0.020996,151.1679,-38.06107,23.12214,1
-0.02832,-0.926758,0.475342,-40.9313,-159.4886,-34.83206,0
-0.098389,-1.2771,1.506836,92.75572,140.0382,3.725191,10
0.034424,-0.956055,0.42749,29.05343,15.38931,-7.068702,0
-1.411133,-2.0,1.999939,250.1298,-168.145,176.6641,10
0.059326,-0.942871,0.873779,46.20611,20.22901,-16.81679,1
-0.190674,-1.054443,-0.116943,124.626,-54.51908,-49.1832,1
1.0,-0.008789,0.075684,-2.763359,0.312977,0.847328,0
-0.092285,-1.000977,0.481201,33.48855,26.47328,-3.465649,1
-0.439941,-0.968506,0.539551,-223.5191,171.9542,-88.19084,1
1.00293,0.019775,0.077637,-2.648855,0.358779,0.984733,0
-0.08886701,-1.053223,0.246826,-3.572519,-44.70229,-2.763359,1
-0.410156,-0.756104,1.999939,250.1298,-11.34351,-26.51145,10
-0.08544901,-0.9040529,0.549561,107.0,57.45038,-9.61832,1
0.126709,-0.679199,1.574951,51.48092,68.20612,-26.38168,10
1.001221,0.021973,0.070068,-2.687023,0.114504,1.022901,0
0.053711,-1.318359,0.0979,134.9771,-211.7252,45.73283,1
0.998535,0.019775,0.077148,-2.923664,0.183206,0.961832,0
0.9978029,0.018799,0.076904,-2.870229,0.259542,0.89313,0
0.105469,-1.125976,-1.297852,197.4733,-79.12977,-90.64886,10
0.059326,-0.942871,0.873779,46.20611,20.22901,-16.81679,1
0.9990231,0.019775,0.06958001,-2.48855,0.267176,1.091603,0
-0.047119,-1.725586,-0.019287,51.31298,16.75573,-5.068702,10
0.072998,-1.135986,0.274902,39.38168,-56.0458,35.19084,1
0.137451,-1.001709,0.652832,206.0,49.78626,-18.25191,1
0.059326,-0.942871,0.873779,46.20611,20.22901,-16.81679,1
-0.051514,-0.58667,0.422852,-250.1374,-30.85496,-55.27481,0
-0.043945,-0.032959,1.999939,-131.1908,100.7557,-81.61832,10
-0.092285,-1.000977,0.481201,33.48855,26.47328,-3.465649,1
-0.109619,-0.695801,0.407715,-250.1374,16.22137,-50.69466,0
0.139404,-1.240234,0.024414,217.6641,-152.1069,47.82443,1
-0.766602,-0.213379,1.151367,-250.1374,-4.0229,-168.5954,1
-0.028564,-0.922363,0.581543,45.10687,29.39695,-13.58779,1
1.001221,0.014404,0.080322,-2.633588,0.305344,1.08397,0
-0.236328,-0.331299,0.76416,-100.3359,42.48855,-62.52672,0
-0.06665,-0.970215,0.350342,39.0916,8.38168,2.236641,0
