ax,ay,az,gx,gy,gz,label
1.016357,0.196045,0.163574,3.664122,72.30534,-50.64122,0
0.758789,-0.128906,-0.07251,8.732824,-32.77099,-7.57252,0
0.954834,0.502197,0.955078,26.47328,39.27481,7.40458,10
0.771484,0.345215,0.868408,79.67175,13.10687,0.885496,10
0.9335939,0.122314,0.398926,-2.877863,0.099237,1.51145,0
0.811035,0.06420899,-0.077637,41.74809,24.80916,-32.36641,0
0.8845221,0.587158,0.246826,11.29771,36.09924,-53.37405,1
0.928955,0.241699,0.362549,46.9542,75.9771,-23.17557,0
0.914307,0.08105499,0.452393,-3.450382,-0.091603,0.389313,0
1.267822,0.178467,0.428467,16.36641,26.12214,35.69466,10
0.832275,0.5734859,0.532715,250.1298,69.69466,-107.3969,1
0.9797359,-0.008301001,0.002686,82.28244,44.9542,-9.244275,0
1.050781,-0.03418,-0.30542,-80.85497,-25.14504,-23.71756,1
